selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_230,"mandelon_base_0017_7, mandelon_base_0017_10","[0.697, 0.785]","[41.0, 29.0]",2
att_231,"mandelon_base_0017_9, mandelon_base_0017_15, mandelon_base_0023_29","[0.71, 0.76, 0.785]","[38.0, 39.0, 28.0]",3
att_232,"mandelon_base_0017_0, mandelon_base_0017_2, mandelon_base_0017_10, mandelon_base_0023_9","[0.685, 0.73, 0.785, 0.775]","[31.0, 44.0, 29.0, 36.0]",4
att_233,"mandelon_base_0017_9, mandelon_base_0017_11, mandelon_base_0023_3, mandelon_base_0023_10","[0.71, 0.695, 0.768, 0.73]","[38.0, 41.0, 35.0, 33.0]",4
att_234,"mandelon_base_0017_1, mandelon_base_0017_2","[0.71, 0.73]","[36.0, 44.0]",2
att_235,mandelon_base_0023_1,[0.768],[41.0],1
att_236,"mandelon_base_0017_12, mandelon_base_0023_2, mandelon_base_0023_28","[0.715, 0.723, 0.748]","[45.0, 41.0, 36.0]",3
att_237,"mandelon_base_0017_6, mandelon_base_0017_9, mandelon_base_0023_6, mandelon_base_0023_8, mandelon_base_0023_22","[0.778, 0.71, 0.803, 0.763, 0.707]","[32.0, 38.0, 24.0, 36.0, 41.0]",5
att_238,"mandelon_base_0017_6, mandelon_base_0023_7, mandelon_base_0023_23","[0.778, 0.79, 0.772]","[32.0, 33.0, 31.0]",3
att_239,"mandelon_base_0017_3, mandelon_base_0017_15, mandelon_base_0023_12, mandelon_base_0023_26","[0.753, 0.76, 0.812, 0.723]","[35.0, 39.0, 31.0, 44.0]",4
att_24,"mandelon_base_0017_12, mandelon_base_0023_19","[0.715, 0.745]","[45.0, 41.0]",2
att_240,"mandelon_base_0017_12, mandelon_base_0023_10, mandelon_base_0023_22, mandelon_base_0023_25","[0.715, 0.73, 0.707, 0.76]","[45.0, 33.0, 41.0, 36.0]",4
att_241,mandelon_base_0017_18,[0.682],[35.0],1
att_242,"mandelon_base_0017_0, mandelon_base_0017_1, mandelon_base_0017_4, mandelon_base_0017_6, mandelon_base_0017_7, mandelon_base_0017_9, mandelon_base_0017_15, mandelon_base_0023_4, mandelon_base_0023_6, mandelon_base_0023_7, mandelon_base_0023_8, mandelon_base_0023_9, mandelon_base_0023_10, mandelon_base_0023_12, mandelon_base_0023_14, mandelon_base_0023_15, mandelon_base_0023_16, mandelon_base_0023_17, mandelon_base_0023_18, mandelon_base_0023_19, mandelon_base_0023_21, mandelon_base_0023_22, mandelon_base_0023_24, mandelon_base_0023_25, mandelon_base_0023_26, mandelon_base_0023_28","[0.685, 0.71, 0.762, 0.778, 0.697, 0.71, 0.76, 0.665, 0.803, 0.79, 0.763, 0.775, 0.73, 0.812, 0.788, 0.755, 0.697, 0.785, 0.81, 0.745, 0.818, 0.707, 0.765, 0.76, 0.723, 0.748]","[31.0, 36.0, 29.0, 32.0, 41.0, 38.0, 39.0, 45.0, 24.0, 33.0, 36.0, 36.0, 33.0, 31.0, 36.0, 36.0, 45.0, 36.0, 33.0, 41.0, 31.0, 41.0, 41.0, 36.0, 44.0, 36.0]",26
att_243,"mandelon_base_0023_1, mandelon_base_0023_10, mandelon_base_0023_28","[0.768, 0.73, 0.748]","[41.0, 33.0, 36.0]",3
att_244,"mandelon_base_0017_6, mandelon_base_0017_7","[0.778, 0.697]","[32.0, 41.0]",2
att_245,"mandelon_base_0017_2, mandelon_base_0023_0, mandelon_base_0023_4, mandelon_base_0023_25","[0.73, 0.697, 0.665, 0.76]","[44.0, 36.0, 45.0, 36.0]",4
att_246,"mandelon_base_0017_10, mandelon_base_0017_15, mandelon_base_0023_4, mandelon_base_0023_16","[0.785, 0.76, 0.665, 0.697]","[29.0, 39.0, 45.0, 45.0]",4
att_247,"mandelon_base_0017_6, mandelon_base_0023_7, mandelon_base_0023_25","[0.778, 0.79, 0.76]","[32.0, 33.0, 36.0]",3
att_248,"mandelon_base_0023_2, mandelon_base_0023_18, mandelon_base_0023_23, mandelon_base_0023_27","[0.723, 0.81, 0.772, 0.687]","[41.0, 33.0, 31.0, 31.0]",4
att_249,"mandelon_base_0023_5, mandelon_base_0023_22","[0.785, 0.707]","[29.0, 41.0]",2
att_25,"mandelon_base_0017_2, mandelon_base_0023_13, mandelon_base_0023_25","[0.73, 0.76, 0.76]","[44.0, 39.0, 36.0]",3
att_250,"mandelon_base_0023_5, mandelon_base_0023_12","[0.785, 0.812]","[29.0, 31.0]",2
att_251,"mandelon_base_0017_4, mandelon_base_0017_5, mandelon_base_0023_22, mandelon_base_0023_27, mandelon_base_0023_28","[0.762, 0.76, 0.707, 0.687, 0.748]","[29.0, 36.0, 41.0, 31.0, 36.0]",5
att_252,"mandelon_base_0017_9, mandelon_base_0023_14, mandelon_base_0023_21, mandelon_base_0023_24","[0.71, 0.788, 0.818, 0.765]","[38.0, 36.0, 31.0, 41.0]",4
att_253,"mandelon_base_0023_3, mandelon_base_0023_12","[0.768, 0.812]","[35.0, 31.0]",2
att_254,mandelon_base_0017_11,[0.695],[41.0],1
att_255,mandelon_base_0017_14,[0.763],[36.0],1
att_256,"mandelon_base_0017_15, mandelon_base_0023_0","[0.76, 0.697]","[39.0, 36.0]",2
